No,Bahan,Satuan (gr),Protein(gr),Lemak(gr),Karbohidrat(gr),Protein(kal),Lemak(kal),Karbohidrat(kal),Harga (IDR),total kalori
47,Andaliman,100,4.6,1,18,18.4,9,72,15800,99.4
48,Jagung pipil,100,6.2,5.1,76.2,24.8,45.9,304.8,2000,375.5
49,Peterseli,97,0.6,0.1,3.9,2.4,0.9,15.6,6790,18.9
50,Jali mentah,100,11,4,61,44,36,244,2800,324
51,Udang besar segar,200,22.8,1.2,2.4,91.2,10.8,9.6,14500,111.6
52,"Ale, toge segar",100,4.4,0.5,3.8,17.6,4.5,15.2,800,37.3
53,Ikan kakap,100,20,0.7,0,80,6.3,0,9500,86.3
54,Lokan,150,11,1.7,5.1,44,15.3,20.4,11970,79.7
55,Daun pohpohan,100,2.5,0.8,6.9,10,7.2,27.6,3000,44.8
56,Lumai/lelunca,100,1.1,0.3,7.6,4.4,2.7,30.4,2000,37.5
57,Daun selasih,100,4,0.5,10.5,16,4.5,42,6000,62.5
58,Ubi jalar merah,100,0.4,0.4,20.6,1.6,3.6,82.4,800,87.6
59,Ikan layur,100,18,1,0.4,72,9,1.6,6000,82.6
60,Telur bebek tambak,100,10.9,12.4,7.9,43.6,111.6,31.6,4000,186.8
61,Andewi,100,1.6,0.2,5.3,6.4,1.8,21.2,6000,29.4
62,Ikan baung,200,35.6,11.6,10.4,142.4,104.4,41.6,8000,288.4
63,Kacang gude,100,20.7,1,58,82.8,9,232,2800,323.8
64,Daun lompong talas,100,3,0.8,7.4,12,7.2,29.6,3800,48.8
65,Bakung,100,2,0.2,4.2,8,1.8,16.8,2500,26.6
66,Ikan patin,100,17,6.6,1.1,68,59.4,4.4,5600,131.8
67,Umbi uwi,100,2.8,0.5,82.3,11.2,4.5,329.2,2280,344.9
68,Jamur merang,100,3.5,0.2,4,14,1.8,16,5960,31.8
69,Baligo,100,0.4,0.2,3,1.6,1.8,12,3000,15.4
70,Daun matel ambon,100,6.8,1.6,11.5,27.2,14.4,46,5000,87.6
71,Tekokak,100,2,0.1,7.9,8,0.9,31.6,6000,40.5
72,Kacang komak,100,16.4,4.3,55.8,65.6,38.7,223.2,6900,327.5
73,Ikan sepat,100,15.2,0.6,4.7,60.8,5.4,18.8,3500,85
74,Carica papaya,200,3.8,0.4,7.4,15.2,3.6,29.6,3200,48.4
75,Daun bebuas,100,2.7,1,7.3,10.8,9,29.2,23900,49
76,Kacang lebui,100,16.5,1.5,66.6,66,13.5,266.4,2800,345.9
77,Jamur sagu,100,1.9,3.2,2.8,7.6,28.8,11.2,5960,47.6
78,Daun bluntas,100,1.8,0.5,9.4,7.2,4.5,37.6,3700,49.3
79,Talas Pontianak,100,2.3,0.5,36.4,9.2,4.5,145.6,2100,159.3
80,Langsat,100,0.9,0.2,14.3,3.6,1.8,57.2,3500,62.6
81,Ikan tongkol,100,13.7,1.5,8,54.8,13.5,32,5300,100.3
82,Caisin,100,1.7,0.4,3.4,6.8,3.6,13.6,1000,24
83,Ikan sunu,100,13.3,3.4,6.7,53.2,30.6,26.8,15000,110.6
84,Kacang merah,100,16.7,2.1,64.6,66.8,18.9,258.4,3500,344.1
85,Kluwih segar,100,1.5,0.3,27.2,6,2.7,108.8,1660,117.5
86,Ubi jalar manis,100,1.5,0.2,18.8,6,1.8,75.2,600,83
87,Ikan kalaban,150,16.4,0.7,0.3,65.6,6.3,1.2,3200,73.1
88,Umbut kelapa,100,2,0.2,7.2,8,1.8,28.8,5500,38.6
89,Lontar,100,0.4,0.3,6,1.6,2.7,24,1200,28.3
90,Kacang tunis,100,12.2,1.2,72.9,48.8,10.8,291.6,3500,351.2
91,Jamur encik,100,9.4,1.1,62,37.6,9.9,248,5960,295.5
92,Daun bangun-bangun,100,1.3,0.6,4,5.2,5.4,16,2800,26.6
93,Ikan lemuru,100,20,3,0,80,27,0,7000,107
94,Mangga golek,100,0.5,0.2,16.7,2,1.8,66.8,1990,70.6
95,Arrowroot,100,1,0.2,24.1,4,1.8,96.4,4500,102.2
96,Kool kembang,200,4.8,0.4,9.8,19.2,3.6,39.2,6000,62
97,Daun gandaria,100,3.1,0.3,14,12.4,2.7,56,3000,71.1
98,Petai,100,5.4,1.1,15.2,21.6,9.9,60.8,2500,92.3
99,Kacang uci,100,23.4,2.4,60.6,93.6,21.6,242.4,10000,357.6
100,Ikan tarmon,100,19.5,11,2,78,99,8,65000,185
101,Paria putih,100,1,0.4,3.6,4,3.6,14.4,10420,22
102,Daun gelang,100,1.3,0.7,5.8,5.2,6.3,23.2,10000,34.7
103,Ikan titang,100,17.4,0.4,2.3,69.6,3.6,9.2,12000,82.4
104,Kucai segar,100,2.2,0.3,10.3,8.8,2.7,41.2,3450,52.7
105,Tebu terubuk,100,4.6,0.4,3,18.4,3.6,12,2500,34
106,Kedondong,100,0.5,0.2,10.4,2,1.8,41.6,2920,45.4
107,Ikan tarmon,100,19.5,1.1,2,78,9.9,8,65000,95.9
108,Keribang,100,1.3,1.1,29.8,5.2,9.9,119.2,4500,134.3
109,Buah negri,100,1.2,0.1,12.2,4.8,0.9,48.8,6800,54.5
110,Jeruk Bali,100,0.6,0.2,12.4,2.4,1.8,49.6,7300,53.8
111,Buah ruruhi,100,2.1,0.7,3.6,8.4,6.3,14.4,3980,29.1
112,Menteng segar,100,1.7,0.3,16.1,6.8,2.7,64.4,10000,73.9
113,Kacang urei,100,12.8,1.8,69.3,51.2,16.2,277.2,10000,344.6
114,Jambu bol,100,2.3,0.2,9.6,9.2,1.8,38.4,4600,49.4
115,Mangga kwini,100,0.7,0.5,19.8,2.8,4.5,79.2,1900,86.5
116,Gadung,100,0.9,0.3,23.5,3.6,2.7,94,2300,100.3
117,Bengkuang,100,1.2,0.2,34.2,4.8,1.8,136.8,1490,143.4
118,Lontar segar,100,2.2,0.3,5.5,8.8,2.7,22,10657,33.5
119,Daun gunda serang,100,4.2,0.9,9.2,16.8,8.1,36.8,1000,61.7
120,Durian,100,2.5,3,28,10,27,112,4500,149
121,Rimbang segar,100,1.6,0.6,15.8,6.4,5.4,63.2,5600,75
122,Kacang banda,100,13.9,56.2,13.7,55.6,505.8,54.8,6800,616.2
123,Lepok,100,2.8,1.2,39.8,11.2,10.8,159.2,25000,181.2
124,Kawista,100,3.5,2.5,20.8,14,22.5,83.2,4880,119.7
125,Rambutan,100,0.5,0.2,18,2,1.8,72,9500,75.8
126,Embacang segar,200,2.8,0.4,50.8,11.2,3.6,203.2,12000,218
127,Komak polong,100,3.3,0.1,21.2,13.2,0.9,84.8,3900,98.9
128,Daun singkil,100,2,1,15.2,8,9,60.8,23900,77.8
129,Buah naga putih,100,0.8,1,10.9,3.2,9,43.6,7000,55.8
130,Hofa/Ubi hutan,100,1.2,0.5,29.5,4.8,4.5,118,2300,127.3
131,Gatep,100,4.5,1.5,39.7,18,13.5,158.8,4635,190.3
132,Daun leunca,100,4.5,0.4,2.8,18,3.6,11.2,2000,32.8
133,Mangga manalagi,100,1,0.1,32.1,4,0.9,128.4,1400,133.3
134,Ikan tongkol,100,13.7,1.5,8,54.8,13.5,32,3250,100.3
135,Koro loke,100,2.7,0.2,7.9,10.8,1.8,31.6,4050,44.2
136,Rusip,100,11.5,2,11.7,46,18,46.8,6000,110.8
137,Sagu kasbi,100,0.6,0.2,56.5,2.4,1.8,226,6400,230.2
138,"Rebon, udang kecil",50,16.2,1.2,0.7,64.8,10.8,2.8,4600,78.4
